title,author,average rating,rating,average score,votes
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost (Goodreads Author),4.13,"157,757","27,124,",289
Water for Elephants,Sara Gruen (Goodreads Author),4.11,"1,613,019","26,011,",279
The Truth About Forever,Sarah Dessen (Goodreads Author),4.12,"222,785","25,739,",274
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.30,"86,225","25,727,",268
Kiss an Angel,Susan Elizabeth Phillips (Goodreads Author),4.18,"64,292","25,125,",274
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips (Goodreads Author),4.01,"66,936","24,683,",275
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan (Goodreads Author),4.21,"92,987","24,315,",263
Emma,Jane Austen,4.05,"883,575","22,513,",241
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski (Goodreads Author),4.22,"148,567","22,390,",250
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park (Goodreads Author),really,avg,"21,391,",229
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles (Goodreads Author),really,avg,"20,617,",223
This Lullaby,Sarah Dessen (Goodreads Author),4.02,"178,612","20,064,",224
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare (Goodreads Author),4.31,"828,949","20,037,",219
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.21,"53,544","19,722,",214
"Matched (Matched, #1)",Ally Condie (Goodreads Author),3.63,"778,152","19,457,",208
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines (Goodreads Author),3.95,"74,426","18,660,",206
Romeo and Juliet,William Shakespeare,3.74,"2,598,237","18,657,",201
Just the Sexiest Man Alive,Julie James (Goodreads Author),3.91,"44,861","18,001,",204
"Something About You (FBI/US Attorney, #1)",Julie James (Goodreads Author),3.94,"61,954","17,986,",198
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger (Goodreads Author),3.80,"193,325","17,972,",194
"The Summer I Turned Pretty (Summer, #1)",Jenny Han (Goodreads Author),3.76,"769,828","17,710,",191
Along for the Ride,Sarah Dessen (Goodreads Author),4.04,"206,998","17,420,",190
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.23,"66,603","17,402,",189
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips (Goodreads Author),4.10,"24,314","16,826,",185
"Mystery Man (Dream Man, #1)",Kristen Ashley (Goodreads Author),4.20,"72,068","16,563,",183
"Significance (Significance, #1)",Shelly Crane (Goodreads Author),4.09,"45,081","16,562,",180
Bet Me,Jennifer Crusie (Goodreads Author),3.93,"92,754","16,251,",186
"Breathe (Sea Breeze, #1)",Abbi Glines (Goodreads Author),3.85,"83,312","15,725,",178
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.86,"873,270","15,107,",166
Forbidden,Tabitha Suzuma (Goodreads Author),3.98,"71,991","15,078,",166
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward (Goodreads Author),4.33,"192,711","15,031,",180
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips (Goodreads Author),4.15,"36,397","14,929,",176
Can You Keep a Secret?,Sophie Kinsella (Goodreads Author),3.84,"439,039","14,918,",171
"Naked in Death (In Death, #1)",J.D. Robb (Goodreads Author),4.13,"192,490","14,495,",157
"The Gamble (Colorado Mountain, #1)",Kristen Ashley (Goodreads Author),4.25,"59,204","14,401,",159
"Sugar Daddy (Travises, #1)",Lisa Kleypas (Goodreads Author),4.01,"44,387","14,385,",162
"Me Before You (Me Before You, #1)",Jojo Moyes (Goodreads Author),4.26,"1,624,607","14,220,",161
The Thorn Birds,Colleen McCullough,4.24,"349,595","14,188,",162
The Sweet Gum Tree,Katherine Allred,4.26,"30,349","14,173,",160
"Wallbanger (Cocktail, #1)",Alice Clayton (Goodreads Author),3.99,"207,256","13,833,",163
Going Too Far,Jennifer Echols (Goodreads Author),3.92,"38,365","13,823,",151
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips (Goodreads Author),4.08,"31,881","13,767,",167
Ain't She Sweet?,Susan Elizabeth Phillips (Goodreads Author),4.08,"24,912","13,680,",160
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding (Goodreads Author),3.80,"982,162","13,634,",153
Miracle,Johnathon Nicolaou (Goodreads Author),4.53,201,"13,580,",136
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson (Goodreads Author),4.02,"113,984","12,768,",148
Catching Jordan,Miranda Kenneally (Goodreads Author),3.84,"63,030","12,633,",139
"Wait for You (Wait for You, #1)",J. Lynn,4.14,"163,656","12,299,",143
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry (Goodreads Author),4.05,"121,729","12,284,",150
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines (Goodreads Author),4.15,"172,138","12,084,",138
"Rock Chick (Rock Chick, #1)",Kristen Ashley (Goodreads Author),4.17,"57,743","11,863,",133
"Existence (Existence, #1)",Abbi Glines (Goodreads Author),3.92,"61,941","11,196,",128
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips (Goodreads Author),4.04,"41,927","10,953,",139
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward (Goodreads Author),4.31,"134,527","10,840,",138
Forget You,Jennifer Echols (Goodreads Author),3.78,"26,534","10,723,",116
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas (Goodreads Author),4.22,"87,807","10,688,",123
"Fallen (Fallen, #1)",Lauren Kate (Goodreads Author),3.72,"585,212","10,685,",122
"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley (Goodreads Author),4.04,"38,052","10,561,",125
North and South,Elizabeth Gaskell,4.15,"169,701","10,413,",123
The Sky Is Everywhere,Jandy Nelson (Goodreads Author),3.96,"105,890","10,403,",114
"Forever Mine (The Moreno Brothers, #1)",Elizabeth Reyes (Goodreads Author),3.87,"23,125","10,283,",115
Practice Makes Perfect,Julie James (Goodreads Author),3.95,"31,640","10,209,",117
"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley (Goodreads Author),3.85,"76,317","10,092,",114
"Delirium (Delirium, #1)",Lauren Oliver (Goodreads Author),3.95,"465,961","10,058,",113
"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter (Goodreads Author),4.05,"84,187","10,005,",111
Lock and Key,Sarah Dessen (Goodreads Author),really,avg,"9,925,",113
Pride and Prejudice,Jane Austen,4.29,"4,258,665","242,654,","2,455"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James (Goodreads Author),3.66,"2,600,598","231,163,","2,345"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire (Goodreads Author),4.01,"681,618","216,238,","2,194"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65,"6,561,126","140,116,","1,438"
"The Notebook (The Notebook, #1)",Nicholas Sparks (Goodreads Author),4.15,"1,687,317","99,788,","1,025"
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles (Goodreads Author),4.04,"259,685","98,391,","1,005"
"Outlander (Outlander, #1)",Diana Gabaldon (Goodreads Author),4.26,"1,050,323","92,123,",939
Jane Eyre,Charlotte Brontë,4.15,"2,090,875","88,963,",913
"Thoughtless (Thoughtless, #1)",S.C. Stephens (Goodreads Author),4.08,"140,196","82,516,",849
"Bared to You (Crossfire, #1)",Sylvia Day (Goodreads Author),4.14,"526,064","79,994,",832
Gone with the Wind,Margaret Mitchell,4.31,"1,206,863","70,505,",729
"Easy (Contours of the Heart, #1)",Tammara Webber (Goodreads Author),4.08,"227,192","69,560,",727
"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard (Goodreads Author),3.98,"158,295","64,971,",676
The Time Traveler’s Wife,Audrey Niffenegger (Goodreads Author),3.99,"1,783,081","59,211,",615
"Slammed (Slammed, #1)",Colleen Hoover (Goodreads Author),4.17,"360,200","58,345,",615
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins (Goodreads Author),3.97,"451,118","57,460,",593
A Walk to Remember,Nicholas Sparks (Goodreads Author),4.20,"803,924","53,515,",562
"Vampire Academy (Vampire Academy, #1)",Richelle Mead (Goodreads Author),4.11,"643,817","53,011,",553
Wuthering Heights,Emily Brontë,3.89,"1,800,646","51,206,",536
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward (Goodreads Author),4.16,"335,922","50,957,",535
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick (Goodreads Author),3.93,"703,556","47,833,",503
The Fault in Our Stars,John Green (Goodreads Author),4.14,"5,125,613","46,780,",495
Persuasion,Jane Austen,4.15,"700,703","44,803,",470
Sense and Sensibility,Jane Austen,4.08,"1,188,140","44,515,",476
"The Host (The Host, #1)",Stephenie Meyer,3.86,"1,005,165","42,892,",452
"Divergent (Divergent, #1)",Veronica Roth (Goodreads Author),4.14,"3,964,575","42,805,",453
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare (Goodreads Author),4.07,"1,997,128","40,751,",434
"Obsidian (Lux, #1)",Jennifer L. Armentrout (Goodreads Author),4.14,"281,818","38,116,",406
"Love Unscripted (Love, #1)",Tina Reber (Goodreads Author),4.02,"68,049","36,394,",386
"On the Island (On the Island, #1)",Tracey Garvis Graves (Goodreads Author),4.11,"84,306","34,490,",370
"Hopeless (Hopeless, #1)",Colleen Hoover (Goodreads Author),4.25,"566,526","33,688,",365
Memoirs of a Geisha,Arthur Golden,4.15,"1,998,332","33,501,",356
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater (Goodreads Author),3.76,"480,447","30,730,",325
"On Dublin Street (On Dublin Street, #1)",Samantha Young (Goodreads Author),4.16,"198,298","30,502,",332
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost (Goodreads Author),4.13,"157,757","27,124,",289
Water for Elephants,Sara Gruen (Goodreads Author),4.11,"1,613,019","26,011,",279
The Truth About Forever,Sarah Dessen (Goodreads Author),4.12,"222,785","25,739,",274
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.30,"86,225","25,727,",268
Kiss an Angel,Susan Elizabeth Phillips (Goodreads Author),4.18,"64,292","25,125,",274
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips (Goodreads Author),4.01,"66,936","24,683,",275
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan (Goodreads Author),4.21,"92,987","24,315,",263
Emma,Jane Austen,4.05,"883,575","22,513,",241
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski (Goodreads Author),4.22,"148,567","22,390,",250
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park (Goodreads Author),really,avg,"21,391,",229
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles (Goodreads Author),really,avg,"20,617,",223
This Lullaby,Sarah Dessen (Goodreads Author),4.02,"178,612","20,064,",224
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare (Goodreads Author),4.31,"828,949","20,037,",219
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.21,"53,544","19,722,",214
"Matched (Matched, #1)",Ally Condie (Goodreads Author),3.63,"778,152","19,457,",208
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines (Goodreads Author),3.95,"74,426","18,660,",206
Romeo and Juliet,William Shakespeare,3.74,"2,598,237","18,657,",201
Just the Sexiest Man Alive,Julie James (Goodreads Author),3.91,"44,861","18,001,",204
"Something About You (FBI/US Attorney, #1)",Julie James (Goodreads Author),3.94,"61,954","17,986,",198
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger (Goodreads Author),3.80,"193,325","17,972,",194
"The Summer I Turned Pretty (Summer, #1)",Jenny Han (Goodreads Author),3.76,"769,828","17,710,",191
Along for the Ride,Sarah Dessen (Goodreads Author),4.04,"206,998","17,420,",190
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.23,"66,603","17,402,",189
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips (Goodreads Author),4.10,"24,314","16,826,",185
"Mystery Man (Dream Man, #1)",Kristen Ashley (Goodreads Author),4.20,"72,068","16,563,",183
"Significance (Significance, #1)",Shelly Crane (Goodreads Author),4.09,"45,081","16,562,",180
Bet Me,Jennifer Crusie (Goodreads Author),3.93,"92,754","16,251,",186
"Breathe (Sea Breeze, #1)",Abbi Glines (Goodreads Author),3.85,"83,312","15,725,",178
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.86,"873,270","15,107,",166
Forbidden,Tabitha Suzuma (Goodreads Author),3.98,"71,991","15,078,",166
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward (Goodreads Author),4.33,"192,711","15,031,",180
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips (Goodreads Author),4.15,"36,397","14,929,",176
Can You Keep a Secret?,Sophie Kinsella (Goodreads Author),3.84,"439,039","14,918,",171
"Naked in Death (In Death, #1)",J.D. Robb (Goodreads Author),4.13,"192,490","14,495,",157
"The Gamble (Colorado Mountain, #1)",Kristen Ashley (Goodreads Author),4.25,"59,204","14,401,",159
"Sugar Daddy (Travises, #1)",Lisa Kleypas (Goodreads Author),4.01,"44,387","14,385,",162
"Me Before You (Me Before You, #1)",Jojo Moyes (Goodreads Author),4.26,"1,624,607","14,220,",161
The Thorn Birds,Colleen McCullough,4.24,"349,595","14,188,",162
The Sweet Gum Tree,Katherine Allred,4.26,"30,349","14,173,",160
"Wallbanger (Cocktail, #1)",Alice Clayton (Goodreads Author),3.99,"207,256","13,833,",163
Going Too Far,Jennifer Echols (Goodreads Author),3.92,"38,365","13,823,",151
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips (Goodreads Author),4.08,"31,881","13,767,",167
Ain't She Sweet?,Susan Elizabeth Phillips (Goodreads Author),4.08,"24,912","13,680,",160
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding (Goodreads Author),3.80,"982,162","13,634,",153
Miracle,Johnathon Nicolaou (Goodreads Author),4.53,201,"13,580,",136
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson (Goodreads Author),4.02,"113,984","12,768,",148
Catching Jordan,Miranda Kenneally (Goodreads Author),3.84,"63,030","12,633,",139
"Wait for You (Wait for You, #1)",J. Lynn,4.14,"163,656","12,299,",143
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry (Goodreads Author),4.05,"121,729","12,284,",150
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines (Goodreads Author),4.15,"172,138","12,084,",138
"Rock Chick (Rock Chick, #1)",Kristen Ashley (Goodreads Author),4.17,"57,743","11,863,",133
"Existence (Existence, #1)",Abbi Glines (Goodreads Author),3.92,"61,941","11,196,",128
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips (Goodreads Author),4.04,"41,927","10,953,",139
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward (Goodreads Author),4.31,"134,527","10,840,",138
Forget You,Jennifer Echols (Goodreads Author),3.78,"26,534","10,723,",116
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas (Goodreads Author),4.22,"87,807","10,688,",123
"Fallen (Fallen, #1)",Lauren Kate (Goodreads Author),3.72,"585,212","10,685,",122
"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley (Goodreads Author),4.04,"38,052","10,561,",125
North and South,Elizabeth Gaskell,4.15,"169,701","10,413,",123
The Sky Is Everywhere,Jandy Nelson (Goodreads Author),3.96,"105,890","10,403,",114
"Forever Mine (The Moreno Brothers, #1)",Elizabeth Reyes (Goodreads Author),3.87,"23,125","10,283,",115
Practice Makes Perfect,Julie James (Goodreads Author),3.95,"31,640","10,209,",117
"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley (Goodreads Author),3.85,"76,317","10,092,",114
"Delirium (Delirium, #1)",Lauren Oliver (Goodreads Author),3.95,"465,961","10,058,",113
"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter (Goodreads Author),4.05,"84,187","10,005,",111
Lock and Key,Sarah Dessen (Goodreads Author),really,avg,"9,925,",113
Pride and Prejudice,Jane Austen,4.29,"4,258,665","242,654,","2,455"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James (Goodreads Author),3.66,"2,600,598","231,163,","2,345"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire (Goodreads Author),4.01,"681,618","216,238,","2,194"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65,"6,561,126","140,116,","1,438"
"The Notebook (The Notebook, #1)",Nicholas Sparks (Goodreads Author),4.15,"1,687,317","99,788,","1,025"
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles (Goodreads Author),4.04,"259,685","98,391,","1,005"
"Outlander (Outlander, #1)",Diana Gabaldon (Goodreads Author),4.26,"1,050,323","92,123,",939
Jane Eyre,Charlotte Brontë,4.15,"2,090,875","88,963,",913
"Thoughtless (Thoughtless, #1)",S.C. Stephens (Goodreads Author),4.08,"140,196","82,516,",849
"Bared to You (Crossfire, #1)",Sylvia Day (Goodreads Author),4.14,"526,064","79,994,",832
Gone with the Wind,Margaret Mitchell,4.31,"1,206,863","70,505,",729
"Easy (Contours of the Heart, #1)",Tammara Webber (Goodreads Author),4.08,"227,192","69,560,",727
"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard (Goodreads Author),3.98,"158,295","64,971,",676
The Time Traveler’s Wife,Audrey Niffenegger (Goodreads Author),3.99,"1,783,081","59,211,",615
"Slammed (Slammed, #1)",Colleen Hoover (Goodreads Author),4.17,"360,200","58,345,",615
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins (Goodreads Author),3.97,"451,118","57,460,",593
A Walk to Remember,Nicholas Sparks (Goodreads Author),4.20,"803,924","53,515,",562
"Vampire Academy (Vampire Academy, #1)",Richelle Mead (Goodreads Author),4.11,"643,817","53,011,",553
Wuthering Heights,Emily Brontë,3.89,"1,800,646","51,206,",536
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward (Goodreads Author),4.16,"335,922","50,957,",535
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick (Goodreads Author),3.93,"703,556","47,833,",503
The Fault in Our Stars,John Green (Goodreads Author),4.14,"5,125,613","46,780,",495
Persuasion,Jane Austen,4.15,"700,703","44,803,",470
Sense and Sensibility,Jane Austen,4.08,"1,188,140","44,515,",476
"The Host (The Host, #1)",Stephenie Meyer,3.86,"1,005,165","42,892,",452
"Divergent (Divergent, #1)",Veronica Roth (Goodreads Author),4.14,"3,964,575","42,805,",453
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare (Goodreads Author),4.07,"1,997,128","40,751,",434
"Obsidian (Lux, #1)",Jennifer L. Armentrout (Goodreads Author),4.14,"281,818","38,116,",406
"Love Unscripted (Love, #1)",Tina Reber (Goodreads Author),4.02,"68,049","36,394,",386
"On the Island (On the Island, #1)",Tracey Garvis Graves (Goodreads Author),4.11,"84,306","34,490,",370
"Hopeless (Hopeless, #1)",Colleen Hoover (Goodreads Author),4.25,"566,526","33,688,",365
Memoirs of a Geisha,Arthur Golden,4.15,"1,998,332","33,501,",356
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater (Goodreads Author),3.76,"480,447","30,730,",325
"On Dublin Street (On Dublin Street, #1)",Samantha Young (Goodreads Author),4.16,"198,298","30,502,",332
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost (Goodreads Author),4.13,"157,757","27,124,",289
Water for Elephants,Sara Gruen (Goodreads Author),4.11,"1,613,019","26,011,",279
The Truth About Forever,Sarah Dessen (Goodreads Author),4.12,"222,785","25,739,",274
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.30,"86,225","25,727,",268
Kiss an Angel,Susan Elizabeth Phillips (Goodreads Author),4.18,"64,292","25,125,",274
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips (Goodreads Author),4.01,"66,936","24,683,",275
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan (Goodreads Author),4.21,"92,987","24,315,",263
Emma,Jane Austen,4.05,"883,575","22,513,",241
"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski (Goodreads Author),4.22,"148,567","22,390,",250
"Flat-Out Love (Flat-Out Love, #1)",Jessica Park (Goodreads Author),really,avg,"21,391,",229
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles (Goodreads Author),really,avg,"20,617,",223
This Lullaby,Sarah Dessen (Goodreads Author),4.02,"178,612","20,064,",224
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare (Goodreads Author),4.31,"828,949","20,037,",219
"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.21,"53,544","19,722,",214
"Matched (Matched, #1)",Ally Condie (Goodreads Author),3.63,"778,152","19,457,",208
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines (Goodreads Author),3.95,"74,426","18,660,",206
Romeo and Juliet,William Shakespeare,3.74,"2,598,237","18,657,",201
Just the Sexiest Man Alive,Julie James (Goodreads Author),3.91,"44,861","18,001,",204
"Something About You (FBI/US Attorney, #1)",Julie James (Goodreads Author),3.94,"61,954","17,986,",198
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger (Goodreads Author),3.80,"193,325","17,972,",194
"The Summer I Turned Pretty (Summer, #1)",Jenny Han (Goodreads Author),3.76,"769,828","17,710,",191
Along for the Ride,Sarah Dessen (Goodreads Author),4.04,"206,998","17,420,",190
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.23,"66,603","17,402,",189
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips (Goodreads Author),4.10,"24,314","16,826,",185
"Mystery Man (Dream Man, #1)",Kristen Ashley (Goodreads Author),4.20,"72,068","16,563,",183
"Significance (Significance, #1)",Shelly Crane (Goodreads Author),4.09,"45,081","16,562,",180
Bet Me,Jennifer Crusie (Goodreads Author),3.93,"92,754","16,251,",186
"Breathe (Sea Breeze, #1)",Abbi Glines (Goodreads Author),3.85,"83,312","15,725,",178
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.86,"873,270","15,107,",166
Forbidden,Tabitha Suzuma (Goodreads Author),3.98,"71,991","15,078,",166
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward (Goodreads Author),4.33,"192,711","15,031,",180
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips (Goodreads Author),4.15,"36,397","14,929,",176
Can You Keep a Secret?,Sophie Kinsella (Goodreads Author),3.84,"439,039","14,918,",171
"Naked in Death (In Death, #1)",J.D. Robb (Goodreads Author),4.13,"192,490","14,495,",157
"The Gamble (Colorado Mountain, #1)",Kristen Ashley (Goodreads Author),4.25,"59,204","14,401,",159
"Sugar Daddy (Travises, #1)",Lisa Kleypas (Goodreads Author),4.01,"44,387","14,385,",162
"Me Before You (Me Before You, #1)",Jojo Moyes (Goodreads Author),4.26,"1,624,607","14,220,",161
The Thorn Birds,Colleen McCullough,4.24,"349,595","14,188,",162
The Sweet Gum Tree,Katherine Allred,4.26,"30,349","14,173,",160
"Wallbanger (Cocktail, #1)",Alice Clayton (Goodreads Author),3.99,"207,256","13,833,",163
Going Too Far,Jennifer Echols (Goodreads Author),3.92,"38,365","13,823,",151
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips (Goodreads Author),4.08,"31,881","13,767,",167
Ain't She Sweet?,Susan Elizabeth Phillips (Goodreads Author),4.08,"24,912","13,680,",160
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding (Goodreads Author),3.80,"982,162","13,634,",153
Miracle,Johnathon Nicolaou (Goodreads Author),4.53,201,"13,580,",136
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson (Goodreads Author),4.02,"113,984","12,768,",148
Catching Jordan,Miranda Kenneally (Goodreads Author),3.84,"63,030","12,633,",139
"Wait for You (Wait for You, #1)",J. Lynn,4.14,"163,656","12,299,",143
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry (Goodreads Author),4.05,"121,729","12,284,",150
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines (Goodreads Author),4.15,"172,138","12,084,",138
"Rock Chick (Rock Chick, #1)",Kristen Ashley (Goodreads Author),4.17,"57,743","11,863,",133
"Existence (Existence, #1)",Abbi Glines (Goodreads Author),3.92,"61,941","11,196,",128
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips (Goodreads Author),4.04,"41,927","10,953,",139
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward (Goodreads Author),4.31,"134,527","10,840,",138
Forget You,Jennifer Echols (Goodreads Author),3.78,"26,534","10,723,",116
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas (Goodreads Author),4.22,"87,807","10,688,",123
"Fallen (Fallen, #1)",Lauren Kate (Goodreads Author),3.72,"585,212","10,685,",122
"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley (Goodreads Author),4.04,"38,052","10,561,",125
North and South,Elizabeth Gaskell,4.15,"169,701","10,413,",123
The Sky Is Everywhere,Jandy Nelson (Goodreads Author),3.96,"105,890","10,403,",114
"Forever Mine (The Moreno Brothers, #1)",Elizabeth Reyes (Goodreads Author),3.87,"23,125","10,283,",115
Practice Makes Perfect,Julie James (Goodreads Author),3.95,"31,640","10,209,",117
"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley (Goodreads Author),3.85,"76,317","10,092,",114
"Delirium (Delirium, #1)",Lauren Oliver (Goodreads Author),3.95,"465,961","10,058,",113
"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter (Goodreads Author),4.05,"84,187","10,005,",111
Lock and Key,Sarah Dessen (Goodreads Author),really,avg,"9,925,",113
Pride and Prejudice,Jane Austen,4.29,"4,258,665","242,654,","2,455"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James (Goodreads Author),3.66,"2,600,598","231,163,","2,345"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire (Goodreads Author),4.01,"681,618","216,238,","2,194"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65,"6,561,126","140,116,","1,438"
"The Notebook (The Notebook, #1)",Nicholas Sparks (Goodreads Author),4.15,"1,687,317","99,788,","1,025"
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles (Goodreads Author),4.04,"259,685","98,391,","1,005"
"Outlander (Outlander, #1)",Diana Gabaldon (Goodreads Author),4.26,"1,050,323","92,123,",939
Jane Eyre,Charlotte Brontë,4.15,"2,090,875","88,963,",913
"Thoughtless (Thoughtless, #1)",S.C. Stephens (Goodreads Author),4.08,"140,196","82,516,",849
"Bared to You (Crossfire, #1)",Sylvia Day (Goodreads Author),4.14,"526,064","79,994,",832
Gone with the Wind,Margaret Mitchell,4.31,"1,206,863","70,505,",729
"Easy (Contours of the Heart, #1)",Tammara Webber (Goodreads Author),4.08,"227,192","69,560,",727
"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard (Goodreads Author),3.98,"158,295","64,971,",676
The Time Traveler’s Wife,Audrey Niffenegger (Goodreads Author),3.99,"1,783,081","59,211,",615
"Slammed (Slammed, #1)",Colleen Hoover (Goodreads Author),4.17,"360,200","58,345,",615
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins (Goodreads Author),3.97,"451,118","57,460,",593
A Walk to Remember,Nicholas Sparks (Goodreads Author),4.20,"803,924","53,515,",562
